norm,q,C,ratio,sign_c0_0_55
p1,0,0.2938069950,0.4160434795,L
p1,1,0.3455783397,0.5280667813,L
p1,2,0.3973496845,0.6593370554,L
p1,3,0.4539734072,0.8314126330,L
p1,4,0.5057447519,1.0232460939,L
p1,5,0.5623684746,1.2850273394,H
p1,6,0.3504133077,0.5394404039,L
p1,7,0.4137813318,0.7058480979,L
p1,8,0.4704050545,0.8882355441,L
p1,9,0.5318811552,1.1362096637,L
p1,10,0.5866129544,1.4190404868,H
p1,11,0.7061930050,2.4035949348,H
p2,0,0.4045194031,0.6793158420,L
p2,1,0.4280123842,0.7482896001,L
p2,2,0.4545923629,0.8334910110,L
p2,3,0.4851930380,0.9424756730,L
p2,4,0.5134774036,1.0554029915,L
p2,5,0.5426520157,1.1865188746,L
p2,6,0.4018748828,0.6718909993,L
p2,7,0.4195404778,0.7227730130,L
p2,8,0.4607206494,0.8543265173,L
p2,9,0.5026415752,1.0106224206,L
p2,10,0.5386556905,1.1675784862,L
p2,11,0.5954805969,1.4720693059,H
pinf,0,0.5111614467,1.0456651653,L
pinf,1,0.5111614467,1.0456651653,L
pinf,2,0.5111614467,1.0456651653,L
pinf,3,0.5111614467,1.0456651653,L
pinf,4,0.5111614467,1.0456651653,L
pinf,5,0.5111614467,1.0456651653,L
pinf,6,0.4594799959,0.8500702887,L
pinf,7,0.3893326365,0.6375527165,L
pinf,8,0.3893326365,0.6375527165,L
pinf,9,0.3893326365,0.6375527165,L
pinf,10,0.4594799959,0.8500702887,L
pinf,11,0.4888385533,0.9563290747,L
