q,a_q,s_q_modal_p2,b_q,tau_q
0,0.2938069950,0.4045194031,0.5111614467,0.1086772258
1,0.3455783397,0.4280123842,0.5111614467,0.0827915535
2,0.3973496845,0.4545923629,0.5111614467,0.0569058811
3,0.4539734072,0.4851930380,0.5111614467,0.0285940197
4,0.5057447519,0.5134774036,0.5134774036,0.0038663258
5,0.5111614467,0.5426520157,0.5623684746,0.0256035140
6,0.3504133077,0.4018748828,0.4594799959,0.0545333441
7,0.3893326365,0.4195404778,0.4195404778,0.0151039207
8,0.3893326365,0.4607206494,0.4704050545,0.0405362090
9,0.3893326365,0.5026415752,0.5318811552,0.0712742594
10,0.4594799959,0.5386556905,0.5866129544,0.0635664792
11,0.4888385533,0.5954805969,0.7061930050,0.1086772258
